,GPU/MatMul,GPU/Mul,GPU/RandomUniform,GPU/ResourceApplyAdam,GPU/RealDiv,GPU/SparseSoftmaxCrossEntropyWithLogits,GPU/Sub,GPU/SegmentSum,GPU/Add,GPU/Floor,GPU/Const,GPU/Sum,GPU/Relu,GPU/Pack,GPU/ReluGrad,GPU/ReadVariableOp,GPU/Shape,GPU/BroadcastGradientArgs,GPU/Tile,GPU/Mean,GPU/AddN,GPU/Reshape,GPU/AssignAdd,GPU/GatherV2,GPU/VarHandleOp,GPU/unknown,GPU/NoOp,GPU/Snapshot,GPU/AssignVariableOp,GPU/Unpack,CPU/_Arg,GPU/VariableV2,GPU/MEMCPYHtoD,MEMCPY/MEMCPYHtoD,CPU/_Retval,CPU/NoOp,MEMCPY/Pack,MEMCPY/MEMCPYDtoH,GPU/MEMCPYDtoH
ratio,0.2014433636648886,0.08503294634452463,0.06369626608095387,0.05961719485409476,0.06149984311264512,0.05867587072481958,0.06118606840288673,0.05396925007844368,0.026670850329463446,0.021336680263570756,0.03294634452463131,0.02447442736115469,0.017885158456228428,0.02008158142453718,0.016002510197678066,0.019454032005020397,0.02165045497332915,0.018512707875745216,0.019767806714778787,0.010668340131785378,0.011923438970818953,0.009099466582993411,0.010982114841543772,0.011609664261060559,0.009413241292751805,0.006275494195167869,0.013178537809852526,0.005334170065892689,0.0034515218073423283,0.0028239723878255413,0.006589268904926263,0.0034515218073423283,0.0015688735487919673,0.0015688735487919673,0.0018826482585503608,0.0034515218073423283,0.0009413241292751804,0.0009413241292751804,0.0009413241292751804
ratio,0.21428571428571427,0.09803921568627451,0.06162464985994398,0.06057422969187675,0.0665266106442577,0.0626750700280112,0.03816526610644258,0.027661064425770307,0.029411764705882353,0.028011204481792718,0.0350140056022409,0.02661064425770308,0.02030812324929972,0.0196078431372549,0.02100840336134454,0.02415966386554622,0.01995798319327731,0.014355742296918767,0.011904761904761904,0.012605042016806723,0.012955182072829132,0.014005602240896359,0.0196078431372549,0.011904761904761904,0.012254901960784314,0.0063025210084033615,0.004901960784313725,0.0063025210084033615,0.004901960784313725,0.0024509803921568627,0.0021008403361344537,0.0024509803921568627,0.0017507002801120449,0.0017507002801120449,0.0010504201680672268,0.0007002801120448179,0.0007002801120448179,0.0007002801120448179,0.0007002801120448179
ratio,0.2137037037037037,0.09,0.06333333333333334,0.056666666666666664,0.061481481481481484,0.056296296296296296,0.056296296296296296,0.042222222222222223,0.0337037037037037,0.027037037037037037,0.03148148148148148,0.025925925925925925,0.02074074074074074,0.022962962962962963,0.016666666666666666,0.02666666666666667,0.01888888888888889,0.012592592592592593,0.01,0.01037037037037037,0.01,0.009259259259259259,0.008518518518518519,0.009259259259259259,0.012592592592592593,0.006666666666666667,0.02148148148148148,0.005185185185185185,0.003703703703703704,0.0025925925925925925,0.0025925925925925925,0.0025925925925925925,0.001851851851851852,0.001851851851851852,0.0014814814814814814,0.0011111111111111111,0.0007407407407407407,0.0007407407407407407,0.0007407407407407407
ratio,0.20909090909090908,0.0958041958041958,0.07412587412587412,0.06433566433566433,0.07447552447552448,0.062237762237762236,0.04650349650349651,0.03426573426573427,0.03566433566433566,0.03146853146853147,0.02097902097902098,0.023776223776223775,0.022727272727272728,0.02062937062937063,0.02062937062937063,0.01818181818181818,0.017132867132867134,0.014335664335664336,0.011888111888111888,0.013636363636363636,0.011188811188811189,0.013636363636363636,0.010839160839160839,0.011188811188811189,0.006643356643356644,0.006293706293706294,0.0038461538461538464,0.0034965034965034965,0.006293706293706294,0.003146853146853147,0.002097902097902098,0.0017482517482517483,0.0017482517482517483,0.0017482517482517483,0.001048951048951049,0.001048951048951049,0.0006993006993006993,0.0006993006993006993,0.0006993006993006993
ratio,0.20934959349593496,0.08577235772357723,0.09268292682926829,0.061788617886178863,0.05975609756097561,0.06056910569105691,0.054878048780487805,0.04227642276422764,0.027642276422764227,0.024796747967479674,0.024390243902439025,0.025203252032520326,0.01707317073170732,0.018292682926829267,0.01951219512195122,0.02032520325203252,0.025203252032520326,0.02032520325203252,0.011382113821138212,0.01097560975609756,0.01016260162601626,0.01016260162601626,0.00975609756097561,0.01016260162601626,0.008130081300813009,0.007317073170731708,0.004878048780487805,0.006910569105691057,0.0032520325203252032,0.0024390243902439024,0.002845528455284553,0.0020325203252032522,0.0020325203252032522,0.0020325203252032522,0.0016260162601626016,0.0016260162601626016,0.0008130081300813008,0.0008130081300813008,0.0008130081300813008
ratio,0.24126984126984127,0.09523809523809523,0.0884920634920635,0.060714285714285714,0.05793650793650794,0.05992063492063492,0.046031746031746035,0.034523809523809526,0.03373015873015873,0.027777777777777776,0.02261904761904762,0.020634920634920634,0.023412698412698413,0.021825396825396824,0.018253968253968255,0.01626984126984127,0.013888888888888888,0.013095238095238096,0.011904761904761904,0.014285714285714285,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.00992063492063492,0.00753968253968254,0.006349206349206349,0.0035714285714285713,0.003968253968253968,0.002777777777777778,0.002380952380952381,0.001984126984126984,0.001984126984126984,0.001984126984126984,0.001984126984126984,0.0015873015873015873,0.0011904761904761906,0.0007936507936507937,0.0007936507936507937,0.0007936507936507937
ratio,0.2172386895475819,0.09009360374414976,0.06357254290171607,0.05967238689547582,0.0655226209048362,0.06123244929797192,0.0390015600624025,0.05538221528861154,0.032371294851794075,0.030421216848673948,0.033931357254290175,0.021450858034321372,0.0218408736349454,0.01950078003120125,0.0171606864274571,0.02574102964118565,0.019110764430577222,0.014430577223088924,0.011310452418096724,0.010530421216848674,0.009750390015600624,0.009750390015600624,0.008970358814352574,0.009750390015600624,0.013650546021840874,0.0070202808112324495,0.00546021840873635,0.0062402496099844,0.0035101404056162248,0.002730109204368175,0.00234009360374415,0.002730109204368175,0.0019500780031201249,0.0019500780031201249,0.0015600624024961,0.00078003120124805,0.00078003120124805,0.00078003120124805,0.00078003120124805
ratio,0.20940484937545922,0.08890521675238795,0.08743570903747244,0.06318883174136664,0.06098457016899339,0.07237325495958853,0.055841293166789124,0.0470242468772961,0.024246877296105803,0.021675238795003673,0.027920646583394562,0.022777369581190303,0.014695077149155033,0.02204261572373255,0.01653196179279941,0.01689933872152829,0.015429831006612785,0.014327700220426157,0.013592946362968405,0.012858192505510653,0.009551800146950772,0.018001469507714914,0.009184423218221896,0.011388684790595151,0.0073475385745775165,0.006612784717119765,0.005510653930933138,0.0036737692872887582,0.0029390154298310064,0.0033063923585598823,0.002571638501102131,0.002204261572373255,0.002204261572373255,0.002204261572373255,0.0018368846436443791,0.0007347538574577516,0.0011021307861866275,0.0007347538574577516,0.0007347538574577516
ratio,0.22589753933037515,0.0826946349334409,0.09237595804759983,0.05970149253731343,0.0609116579265833,0.05970149253731343,0.04195240016135539,0.06292860024203308,0.02702702702702703,0.02218636546994756,0.023396530859217425,0.022589753933037516,0.01653892698668818,0.022589753933037516,0.01734570391286809,0.016135538523598225,0.01936264622831787,0.01734570391286809,0.011698265429608713,0.010488100040338847,0.010488100040338847,0.009681323114158934,0.014925373134328358,0.009681323114158934,0.007664380798709157,0.007260992335619202,0.0052440500201694235,0.003630496167809601,0.003630496167809601,0.0024203307785397336,0.002016942315449778,0.0024203307785397336,0.0016135538523598225,0.0016135538523598225,0.0016135538523598225,0.0008067769261799112,0.0008067769261799112,0.0008067769261799112,0.0008067769261799112
ratio,0.22118742724097787,0.08575863407062476,0.09041521148622429,0.060147458284827315,0.0613116026387272,0.05587892898719441,0.05044625533566162,0.03919285991462942,0.03570042685292976,0.03570042685292976,0.02483507954986418,0.020566550252231277,0.016686069072564997,0.01823826154443151,0.027939464493597205,0.01979045401629802,0.01435778036476523,0.013193636010865347,0.011253395421032208,0.010089251067132324,0.009701202949165696,0.00892510671323244,0.009701202949165696,0.009313154831199068,0.011253395421032208,0.006984866123399301,0.007372914241365929,0.004268529297632906,0.0031043849437330227,0.002328288707799767,0.002716336825766395,0.002328288707799767,0.002328288707799767,0.002328288707799767,0.0011641443538998836,0.0011641443538998836,0.0007760962359332557,0.0007760962359332557,0.0007760962359332557
