,CPU/IteratorGetNext,GPU/MEMCPYHtoD,MEMCPY/MEMCPYHtoD,GPU/ConcatV2,GPU/MatMul,GPU/Mean,GPU/ExpandDims,GPU/RealDiv,GPU/Mul,GPU/ApplyAdam,GPU/SparseSoftmaxCrossEntropyWithLogits,GPU/Reshape,GPU/Sub,GPU/RandomUniform,GPU/Cast,GPU/Shape,GPU/Add,GPU/Floor,GPU/Tile,GPU/Const,GPU/Relu,GPU/Slice,GPU/ReluGrad,GPU/Assign,GPU/DynamicStitch,GPU/VariableV2,GPU/BroadcastGradientArgs,GPU/NoOp,GPU/AddN,GPU/AssignAdd,GPU/Sum,GPU/Snapshot,GPU/Maximum,CPU/IteratorV2,GPU/Size,GPU/FloorDiv,GPU/Identity,GPU/ShapeN,CPU/_Arg,GPU/ConcatOffset,CPU/_Retval,CPU/NoOp,GPU/MEMCPYDtoH,MEMCPY/MEMCPYDtoH,MEMCPY/Assign
ratio,0.9027501875221523,0.02692694466654028,0.02692694466654028,0.03482210810617738,0.0009060136224883709,0.000670408866981539,0.004377577570976792,0.00019919935596787532,0.00018546146934940116,0.00014768228114859721,0.00013394439453012305,0.0006731564443052338,0.0001360050775228942,7.69321650634553e-05,7.62452707325316e-05,6.594185576867597e-05,7.899284805622642e-05,8.036663671807384e-05,7.143701041606563e-05,6.182048978313372e-05,7.075011608514193e-05,5.563844080482035e-05,4.25874485172699e-05,3.983987119357507e-05,4.876949749558327e-05,4.533502584096473e-05,3.43447165461854e-05,3.43447165461854e-05,3.503161087710911e-05,2.2667512920482365e-05,2.6101984575100905e-05,2.2667512920482365e-05,1.5111675280321576e-05,3.228403355341428e-05,2.060682992771124e-05,1.785925260401641e-05,2.1980618589558655e-05,6.182048978313372e-06,1.5111675280321576e-05,6.182048978313372e-06,4.808260316465956e-06,8.929626302008204e-06,2.060682992771124e-06,2.060682992771124e-06,1.373788661847416e-06
ratio,0.9372271276231966,0.02897548901009605,0.02897548901009605,0.0016641675963110338,0.0007103782138914974,0.0006258093789044144,4.9270538644648376e-05,0.0001838452934501805,0.00017207919466936895,0.00011913175015571696,0.00012133789367711913,6.986121151106859e-05,8.162731029188014e-05,8.67749785084852e-05,9.780569611549602e-05,7.280273620627148e-05,6.32427809468621e-05,6.471354329446354e-05,5.515358803505415e-05,6.250739977306136e-05,5.0741300992249815e-05,6.32427809468621e-05,4.265210808044188e-05,3.750443986383682e-05,3.67690586900361e-05,3.750443986383682e-05,3.603367751623538e-05,2.7209103430626714e-05,2.2796816387822382e-05,2.3532197561623105e-05,2.132605404022094e-05,2.206143521402166e-05,1.6913766997416607e-05,1.3236861128412995e-05,1.470762347601444e-05,1.2501479954612274e-05,1.3972242302213718e-05,6.618430564206498e-06,5.883049390405776e-06,5.147668216605054e-06,3.67690586900361e-06,2.941524695202888e-06,1.470762347601444e-06,1.470762347601444e-06,1.470762347601444e-06
ratio,0.9389722315493791,0.028022630691521434,0.028022630691521434,0.0017193259895511772,0.000748098162610256,0.0006318396643667703,5.415768551715174e-05,0.00018630243817900199,0.00017691510602269568,0.00011914690813773382,0.00012420162545266798,9.459542403662504e-05,8.231968198607064e-05,8.520809188031873e-05,8.881860424812886e-05,7.293234982976434e-05,6.354501767345804e-05,7.365445230332637e-05,5.4879787990713764e-05,6.0656607779209946e-05,7.14881448826403e-05,4.9102968202217576e-05,4.404825088728342e-05,3.827143109878723e-05,3.827143109878723e-05,4.2604045940159365e-05,3.7549328625225206e-05,1.8774664312612603e-05,2.4551484101108788e-05,2.3107279153984743e-05,2.3829381627546765e-05,2.3829381627546765e-05,1.5164151944802486e-05,1.3719946997678441e-05,1.5164151944802486e-05,1.8774664312612603e-05,1.805256183905058e-05,6.498922262058208e-06,5.776819788496186e-06,5.054717314934162e-06,2.888409894248093e-06,2.888409894248093e-06,2.1663074206860697e-06,2.1663074206860697e-06,2.1663074206860697e-06
ratio,0.9388967649912224,0.028127309895592718,0.028127309895592718,0.0016356948165942898,0.000695134204933937,0.000630890233761434,6.0634759308879237e-05,0.000195619283008408,0.00018190427792663772,0.00011693846438140996,0.00011693846438140996,8.012450337244756e-05,0.00010250161692691491,0.00010322345929963966,9.239582370876836e-05,7.434976439064955e-05,7.146239489975053e-05,6.785318303612677e-05,5.630370507253072e-05,5.7747389817980224e-05,5.486002032708122e-05,4.2588699990760417e-05,4.042317287258616e-05,5.341633558163171e-05,3.320474914533863e-05,3.897948812713665e-05,3.9701330499861404e-05,1.8767901690843575e-05,2.237711355446734e-05,2.237711355446734e-05,2.237711355446734e-05,2.5264483045366348e-05,1.4436847454495056e-05,1.4436847454495056e-05,1.4436847454495056e-05,1.2271320336320798e-05,1.0827635590871292e-05,5.7747389817980226e-06,5.7747389817980226e-06,5.05289660907327e-06,4.331054236348517e-06,2.8873694908990113e-06,1.4436847454495056e-06,1.4436847454495056e-06,1.4436847454495056e-06
ratio,0.93851170616659,0.02829110101242522,0.02829110101242522,0.001733634376438104,0.0007305568338702255,0.0006291705016106765,5.752416014726185e-05,0.0001876725724804418,0.0001797630004601933,0.00011648642429820525,0.00011576737229636448,8.197192820984814e-05,8.412908421537046e-05,8.484813621721123e-05,7.550046019328118e-05,6.830994017487345e-05,7.693856419696272e-05,8.197192820984814e-05,5.536700414173953e-05,5.3209848136217214e-05,4.81764841233318e-05,4.2424068108605614e-05,4.81764841233318e-05,4.098596410492407e-05,3.8109756097560976e-05,3.667165209387943e-05,3.882880809940175e-05,1.4381040036815463e-05,2.516682006442706e-05,2.1571560055223193e-05,1.8695352047860102e-05,1.5100092038656235e-05,1.9414404049700874e-05,1.4381040036815463e-05,1.4381040036815463e-05,1.2942936033133916e-05,1.0785780027611597e-05,7.190520018407732e-06,5.752416014726185e-06,5.033364012885412e-06,4.314312011044639e-06,3.595260009203866e-06,2.1571560055223193e-06,2.1571560055223193e-06,2.8762080073630926e-06
ratio,0.9383234776909415,0.028370936924864015,0.028370936924864015,0.0016773123209672086,0.0007475853432309147,0.000618111169305404,7.753820585369565e-05,0.00018726208206175553,0.00018945655958591673,0.0001236222338610808,0.00012947417392551066,7.900119086980312e-05,9.070507099866283e-05,8.631611595034044e-05,9.363104103087776e-05,6.876029575705086e-05,6.144537067651354e-05,6.510283321678219e-05,5.486193810402994e-05,5.778790813624487e-05,4.388955048322395e-05,4.608402800738515e-05,4.7547013023492614e-05,4.096358045100902e-05,3.950059543490156e-05,4.023208794295529e-05,3.36486553704717e-05,2.267626774966571e-05,2.5602237781880638e-05,2.4870745273826906e-05,3.2917162862417966e-05,2.4139252765773173e-05,1.682432768523585e-05,1.9018805209397046e-05,1.3898357653020918e-05,1.3166865144967185e-05,1.0240895112752256e-05,5.85194006442986e-06,6.583432572483593e-06,5.85194006442986e-06,4.388955048322395e-06,3.6574625402686625e-06,1.462985016107465e-06,1.462985016107465e-06,2.1944775241611977e-06
ratio,0.9364946549692835,0.0292290141520605,0.0292290141520605,0.001690656860906679,0.0007896704825357313,0.0006387589995913436,6.200818358606026e-05,0.0001972308489966254,0.00018602455075818078,0.00012625762681980944,0.0001307401461151873,7.769700111988274e-05,8.143243386603094e-05,9.263873210447557e-05,8.442078006294952e-05,8.890329935832736e-05,6.873196252912704e-05,6.574361633220847e-05,6.200818358606026e-05,6.947904907835668e-05,4.6319366052237785e-05,4.781353915069707e-05,4.5572279503008144e-05,4.034267365840065e-05,3.959558710917101e-05,4.6319366052237785e-05,3.5860154363022804e-05,2.0171336829200325e-05,2.7642202321496742e-05,2.3906769575348534e-05,2.4653856124578175e-05,2.0171336829200325e-05,1.7930077181511402e-05,1.718299063228176e-05,1.6435904083052116e-05,1.4194644435363192e-05,2.0171336829200325e-05,7.470865492296417e-06,5.976692393837133e-06,5.229605844607492e-06,4.4825192953778505e-06,2.9883461969185667e-06,1.4941730984592833e-06,1.4941730984592833e-06,1.4941730984592833e-06
ratio,0.9362576044102782,0.02935237093483426,0.02935237093483426,0.0016792179066844211,0.0007743350453746909,0.0006363273542433635,6.191696412919012e-05,0.0001984326802212599,0.0001976866927016311,0.00012457991577800902,0.00013726170361169857,8.8026527316198e-05,9.996232763025874e-05,9.324843995359958e-05,7.459875196287967e-05,7.086881436473568e-05,7.385276444325087e-05,6.788486428622049e-05,5.893301405067493e-05,5.893301405067493e-05,4.774320125624298e-05,5.5949063972159746e-05,4.6997213736614186e-05,3.879135102069742e-05,3.879135102069742e-05,3.879135102069742e-05,3.580740094218224e-05,1.790370047109112e-05,2.610956318700788e-05,2.387160062812149e-05,2.0887650549606306e-05,2.610956318700788e-05,2.6855550706636678e-05,1.566573791220473e-05,1.4919750392575933e-05,1.4173762872947135e-05,1.939567551034871e-05,7.459875196287966e-06,5.2219126374015765e-06,5.2219126374015765e-06,5.967900157030373e-06,2.9839500785151863e-06,2.23796255888639e-06,2.23796255888639e-06,1.4919750392575931e-06
ratio,0.9356930672356805,0.02952730609000221,0.02952730609000221,0.00182150179012235,0.0007964400772233081,0.0006470141715528938,5.9023232739813635e-05,0.00018304673444625747,0.0001905180297297782,0.00012925340840490835,0.000125517760763148,7.247156425015092e-05,0.00010086248632752964,9.11498024589527e-05,8.293137764707992e-05,8.143711859037577e-05,8.59198957604882e-05,7.695434142026335e-05,5.6781844154757425e-05,5.528758509805328e-05,7.396582330685506e-05,4.557490122947635e-05,4.4827771701124284e-05,3.885073547430771e-05,5.603471462640535e-05,3.5862217360899424e-05,3.885073547430771e-05,6.724165755168642e-05,2.5402403963970427e-05,3.212656971913907e-05,2.0919626793857997e-05,1.7931108680449712e-05,1.643684962374557e-05,1.4942590567041427e-05,1.4942590567041427e-05,1.3448331510337284e-05,1.0459813396928999e-05,6.724165755168642e-06,5.229906698464499e-06,5.229906698464499e-06,3.7356476417603567e-06,2.9885181134082854e-06,1.4942590567041427e-06,1.4942590567041427e-06,1.4942590567041427e-06
ratio,0.9378255968155113,0.02861165333782987,0.02861165333782987,0.0016648466993548995,0.0007157147243577896,0.0006288275458863707,7.952385826197663e-05,0.0001862920012988897,0.00017598335300567048,0.0001237037795186303,0.0001237037795186303,9.056883857614005e-05,8.467818240858622e-05,9.056883857614005e-05,9.645949474369387e-05,7.952385826197663e-05,6.258822178025938e-05,6.258822178025938e-05,6.921520996875744e-05,5.3752237528928644e-05,4.6388917319486366e-05,4.786158136137482e-05,4.417992125665368e-05,4.1970925193820996e-05,3.68166010472114e-05,4.049826115193254e-05,3.387127296343449e-05,5.227957348704019e-05,2.503528871210375e-05,2.3562624670215297e-05,2.945328083776912e-05,2.577162073304798e-05,1.6935636481717245e-05,1.7671968502661472e-05,1.6199304460773015e-05,1.3253976376996104e-05,1.9880964565494157e-05,5.890656167553824e-06,6.626988188498052e-06,4.417992125665368e-06,4.417992125665368e-06,3.68166010472114e-06,1.472664041888456e-06,1.472664041888456e-06,2.945328083776912e-06
