,MEMCPYHtoD,SparseToDense,IteratorGetNext,MatMul,SoftmaxCrossEntropyWithLogits,Unique,LogUniformCandidateSampler,ConcatV2,Add,Mul,ComputeAccidentalHits,Sub,Slice,ZerosLike,GatherV2,UnsortedSegmentSum,AddN,RealDiv,Shape,Pad,ScatterAdd,Sqrt,Assign,Const,AssignSub,Log,Reshape,Cast,MEMCPYDtoH,NoOp,Snapshot,Mean,StridedSlice,Fill,BroadcastGradientArgs,VariableV2,Tile,Sum,Identity,AssignAdd,StopGradient,Pack,IteratorV2,ExpandDims,Size,ShapeN,ConcatOffset,_Retval
ratio,0.12256921572558374,0.35946763113858693,0.03338147510197736,0.029314654872615243,0.059717613750271056,0.018791655244929772,0.012355932688806425,0.00817455414312425,0.3109562755454817,0.007450381929243874,0.0065298240302433955,0.0034612977002417998,0.0031626278041216446,0.0011783141107206128,0.008014990773964168,0.0011537659000805999,0.0010432989522005426,0.0011414917947605936,0.0010760298997205596,0.0008059995826804192,0.0007323549507603809,0.0007650858982803979,0.0008100909511204212,0.0009123751621204745,0.0005891570553603064,0.00044186779152022976,0.0010473903206405445,0.000609613897560317,0.00037640589648019575,0.00025775621172013404,0.0005277865287602744,0.00045414189684023616,0.0003395835805201766,0.0002823044223601468,0.0002782130539201447,0.00030276126456015744,0.0002536648432801319,0.00024548210640012763,0.00013910652696007235,0.00015547200072008085,8.182736880004255e-05,0.00013501515852007022,0.00020456842200010638,0.00011046694788005744,7.36446319200383e-05,5.318778972002766e-05,4.909642128002553e-05,2.4548210640012766e-05
ratio,0.3895092930005355,0.21661899350861383,0.0543212779018586,0.05503964055744942,0.05229680132701174,0.04312788161383436,0.03893525593302248,0.02433290231573998,0.021381084858221332,0.02225618118412288,0.021354962579836212,0.009900343507960764,0.00940402021864347,0.0036048744171466637,0.0033305904941028958,0.0029126340399409636,0.0029126340399409636,0.0028081449264004805,0.002337943915468307,0.0018938651829212543,0.0019069263221138148,0.001946109739691496,0.0017501926518030903,0.001528153285529564,0.0016326423990700469,0.001253869362485796,0.001462847589566762,0.0012277470841006752,0.0010971356921750716,0.0008228517691313037,0.0007967294907461829,0.0007706072123610621,0.0006138735420503376,0.0006530569596280187,0.0006138735420503376,0.0005877512636652169,0.00045713987173961313,0.0004310175933544924,0.0002873450622363282,0.00032652847981400935,0.000313467340621449,0.0002742839230437679,0.00022203936627352637,0.0002481616446586471,0.00019591708788840563,0.00011755025273304338,0.000104489113540483,7.836683515536225e-05
ratio,0.3889640812077043,0.2127277459656429,0.056988547631441955,0.055622071837584594,0.052719937532535135,0.044625195210827695,0.03915929203539823,0.02467464862051015,0.021134825611660593,0.022358146798542426,0.020900572618427902,0.009903695991671005,0.009513274336283186,0.003656949505465903,0.0029411764705882353,0.0029151483602290473,0.0028500780843310775,0.00269390942217595,0.0024596564289432587,0.0019000520562207183,0.0018479958355023425,0.0018610098906819365,0.0017178552837064029,0.0016007287870900572,0.0016397709526288391,0.0011061946902654867,0.0011972930765226444,0.00131441957313899,0.0011192087454450807,0.0007678292555960437,0.0008719416970327954,0.0007027589796980739,0.0006507027589796981,0.0006246746486205101,0.0006376887038001041,0.0005856324830817283,0.0004294638209266007,0.00039042165538781884,0.000338365434669443,0.000338365434669443,0.0002732951587714732,0.00031233732431025507,0.00022123893805309734,0.0002342529932326913,0.00018219677251431546,0.00018219677251431546,9.109838625715773e-05,5.2056220718375845e-05
ratio,0.3944853764943127,0.21406070830752197,0.054447680932108444,0.05291877001752975,0.05245746068985515,0.04317855307034308,0.03888178618971676,0.02417260877014933,0.021417933070606687,0.022274650393430954,0.020429413082732533,0.01008290387631638,0.009687495881166717,0.003716835154406822,0.003281886359742194,0.003084182362167363,0.002899658631097521,0.002675594100512712,0.0020429413082732532,0.001911138643223366,0.0018715978437083998,0.0018979583767183773,0.0018452373106984223,0.0015816319805986476,0.0016475333131235914,0.0012389450514689406,0.0011862239854489858,0.0012389450514689406,0.0011598634524390083,0.0012125845184589633,0.0008039962568043126,0.0007117343912693915,0.000738094924279369,0.0006721935917544253,0.0005799317262195041,0.0005272106601995493,0.0004349487946646281,0.0004217685281596394,0.00030314612961474083,0.0003690474621396845,0.00023724479708979717,0.00028996586310975206,0.00022406453058480843,0.00026360533009977464,0.0001713434645648535,0.00011862239854489858,9.226186553492112e-05,5.272106601995492e-05
ratio,0.39434429685852834,0.2155808559983133,0.05140470166561248,0.0530123339658444,0.05249841872232764,0.04298439806029939,0.038859898798228966,0.025366329327429896,0.021531730971958676,0.02203246890153911,0.02000316255534472,0.010265127556398903,0.009685325743200506,0.00365011596036264,0.0035842293906810036,0.0029253636938646427,0.002899009065991988,0.002767235926628716,0.002516866961838499,0.0018975332068311196,0.0019370651486401013,0.0019370651486401013,0.0019107105207674467,0.0015549230444866118,0.0015944549862955935,0.001383617963314358,0.001502213788741303,0.001265022137887413,0.0011859582542694497,0.000421674045962471,0.0008565254058612692,0.0007642842083069787,0.0006193337550073793,0.0006720430107526882,0.0008169934640522876,0.0005798018131983976,0.00043485135989879825,0.00039531941808981655,0.0003426101623445077,0.0003557874762808349,0.000303078220535526,0.000303078220535526,0.00023719165085388995,0.00022401433691756272,0.00022401433691756272,0.0001449504532995994,0.0001449504532995994,7.906388361796332e-05
ratio,0.38735883471534094,0.21618824625176256,0.05547003350452117,0.05469386699093179,0.05199022030192877,0.04396983299483849,0.03905411174210574,0.02447511739518518,0.021215218038109777,0.022702870522489423,0.020232073787563226,0.010116036893781613,0.00963740087706816,0.0036867909395495646,0.0033375160084343426,0.0029235605345200055,0.0028976883174003597,0.002664838363323545,0.002263818997969031,0.0019533523925332782,0.001914544066853809,0.001914544066853809,0.0018369274154948708,0.0018110551983752247,0.0016816941127769944,0.00187573574117434,0.0013970997244608877,0.0010348886847858427,0.001112505336144781,0.0008537831649483203,0.000763230405029559,0.0007761665135893821,0.0007891026221492051,0.0006726776451107978,0.0006856137536706208,0.0005950609937518596,0.0004915721252732753,0.0004656999081536292,0.00036221103967504497,0.0004139554739143371,0.0002975304968759298,0.0002975304968759298,0.0002587221711964607,0.0003363388225553989,0.00020697773695716856,0.0001164249770384073,0.0001164249770384073,9.055275991876124e-05
ratio,0.3852481173971809,0.2136191027868958,0.06337130720216258,0.054270451181051685,0.05203063654502156,0.04175838321426273,0.03832142627276823,0.024238913561176547,0.021201004054836842,0.022539743837291626,0.020467271674068352,0.010066293364227328,0.009435540966724594,0.0037072793975670977,0.002986419514706829,0.0031022719958808008,0.0028963120293492954,0.0026646070670013518,0.0023942846109287507,0.0019051296904164254,0.00184076720087533,0.0018922571925082063,0.001866512196691768,0.0018793846945999871,0.0016219347364356054,0.0017506597155177962,0.0013644847782712235,0.0010555448284739653,0.0011327798159232799,0.0012615047950054708,0.0007980948703095836,0.0008238398661260217,0.0007208598828602691,0.0006307523975027354,0.0006564973933191736,0.0006436248954109545,0.0007466048786767072,0.00042479243097122996,0.0003218124477054772,0.00043766492887944904,0.0003218124477054772,0.00029606745188903906,0.0002445774602561627,0.0002317049623479436,0.0004505374267876681,0.00015446997489862907,0.0001287249790821909,7.723498744931454e-05
ratio,0.38938858271810334,0.21306020588541125,0.05613756888842675,0.053486014349589266,0.052212228345637934,0.0457263179785796,0.03872049495684725,0.024214931891442238,0.021303421025267756,0.02248622231465114,0.020484558594156183,0.009956327337007383,0.009540397213268171,0.0036913798481855047,0.003249454091712592,0.0029635021316418843,0.0028595196007070813,0.0027425392534054277,0.0024045960278673184,0.0019886659041281063,0.0018846833731933036,0.0018976811895601538,0.0017677030258916502,0.0016767183113236977,0.0017807008422585007,0.0014557554330872414,0.0012867838203181865,0.0011828012893833836,0.001091816574815431,0.0011828012893833836,0.0010658209420817302,0.0007538733492773214,0.0006628886347093689,0.0006888842674430696,0.0006758864510762192,0.0006758864510762192,0.0005069148383071644,0.00044192575647291254,0.00036393885827181035,0.0003769366746386607,0.00031194759280440883,0.0003899344910055111,0.00032494540917125925,0.000246958510970157,0.0003899344910055111,0.00012997816366850368,0.00010398253093480295,6.498908183425184e-05
ratio,0.3909363980671281,0.2155543946715424,0.055126028470680426,0.052801358234295416,0.05260545905707196,0.044821731748726654,0.038866396761133605,0.02433067781115319,0.02153584954943189,0.021313830481911974,0.020673893169648686,0.009951678202951548,0.009585999738801096,0.00380044403813504,0.003147446780723521,0.002951547603500065,0.0028601279874624526,0.002742588481128379,0.0024030299072743894,0.0018806321013451744,0.001906751991641635,0.0018936920464934048,0.001906751991641635,0.0016324931435287972,0.0016586130338252579,0.0012668146793783466,0.0012145748987854252,0.0012406947890818859,0.001175395063340734,0.0009664359409690479,0.0007835967088938227,0.0007444168734491315,0.0006138174219668277,0.00069217709285621,0.0006399373122632885,0.0007313569283009012,0.00044403813503983284,0.00043097818989160243,0.00033955857385398983,0.00033955857385398983,0.0002873187932610683,0.0003134386835575291,0.00016977928692699492,0.00024813895781637717,0.00019589917722345567,0.0001305994514823038,9.141961603761265e-05,5.223978059292151e-05
ratio,0.3851474054325567,0.2143915098592275,0.0634571049547287,0.05218757647180042,0.051376170421029585,0.0444985381811625,0.038844454748013346,0.02412323068402818,0.021341267081385316,0.022513298043609856,0.02029803073039424,0.009865667220483494,0.00935048877554963,0.0036577669590304343,0.003206985819713303,0.0029493965972463712,0.0028721198305062916,0.0027175662970261322,0.0021766289298455754,0.0019190397073786433,0.0022925440799556945,0.0019190397073786433,0.001867521862885257,0.0017516067127751375,0.0016872094071584045,0.001159151501101194,0.0012750666512113132,0.0014167407235681259,0.0010561158121144211,0.0004636606004404776,0.0008758033563875687,0.0008886828175109153,0.00064397305616733,0.0010561158121144211,0.0006826114395373698,0.0006053346727972901,0.0005022989838105174,0.00043790167819378437,0.00038638383370039796,0.00038638383370039796,0.0003348659892070116,0.00029622760583697177,0.0003735043725770514,0.0002318303002202388,0.00019319191685019898,0.000128794611233466,0.00010303568898677279,9.015622786342619e-05
ratio,0.3829776357827476,0.21385303514376997,0.061929712460063895,0.05435143769968051,0.051706070287539936,0.043437699680511185,0.038134185303514374,0.02397444089456869,0.021099041533546328,0.023258785942492012,0.02033226837060703,0.010006389776357828,0.009354632587859424,0.0036293929712460063,0.0033865814696485623,0.002964856230031949,0.0028370607028753996,0.00273482428115016,0.0024408945686900958,0.0019169329073482429,0.0019297124600638977,0.0022619808306709264,0.0021853035143769967,0.002134185303514377,0.0016869009584664536,0.001623003194888179,0.0014952076677316295,0.0012140575079872204,0.0011246006389776357,0.0018274760383386582,0.0008690095846645367,0.000805111821086262,0.0008434504792332268,0.0007284345047923323,0.0007156549520766773,0.0006773162939297125,0.0004984025559105431,0.0004600638977635783,0.0003706070287539936,0.0003706070287539936,0.00030670926517571885,0.0003322683706070288,0.00044728434504792333,0.000268370607028754,0.00021725239616613419,0.00011501597444089457,8.945686900958466e-05,7.667731629392971e-05
